Wavelength,S1
nm,CPS
500,110420
501,117310
502,123520
503,130880
504,136830
505,142580
506,143500
507,150500
508,153140
509,153050
510,151970
511,149520
512,148560
513,144200
514,139500
515,133990
516,127620
517,118480
518,117160
519,106530
520,100230
521,96200
522,91600
523,85340
524,82920
525,75440
526,71820
527,69520
528,67350
529,65040
530,60110
531,59180
532,56790
533,53580
534,51640
535,50350
536,49670
537,48390
538,45840
539,43890
540,44240
541,42500
542,40680
543,40570
544,39180
545,37020
546,35630
547,35570
548,33280
549,32210
550,30830
551,29360
552,28320
553,26520
554,25190
555,24350
556,21570
557,21110
558,19710
559,18990
560,17540
561,17070
562,16000
563,15890
564,14410
565,13580
566,13610
567,12870
568,11940
569,11320
570,10720
571,9720
572,9670
573,9270
574,9000
575,8260
576,8240
577,7920
578,7130
579,7020
580,6370
581,6090
582,6400
583,5750
584,5630
585,5610
586,4890
587,4920
588,4590
589,4530
590,3950
591,3970
592,3950
593,3740
594,3690
595,3450
596,3200
597,3140
598,3160
599,2880
600,2450
