Wavelength,S1
nm,CPS
500,230
501,200
502,470
503,240
504,380
505,300
506,270
507,360
508,260
509,290
510,300
511,240
512,300
513,400
514,260
515,210
516,310
517,250
518,260
519,160
520,280
521,430
522,270
523,300
524,410
525,390
526,360
527,280
528,270
529,310
530,300
531,320
532,280
533,240
534,240
535,280
536,240
537,220
538,220
539,330
540,280
541,280
542,280
543,290
544,290
545,360
546,280
547,290
548,390
549,420
550,330
551,210
552,250
553,330
554,340
555,390
556,240
557,250
558,230
559,280
560,340
561,310
562,260
563,320
564,250
565,340
566,290
567,320
568,330
569,160
570,400
571,300
572,350
573,220
574,240
575,240
576,270
577,360
578,360
579,390
580,360
581,430
582,280
583,290
584,300
585,300
586,370
587,240
588,280
589,210
590,260
591,260
592,240
593,240
594,180
595,180
596,230
597,250
598,320
599,350
600,220
