Wavelength,S1
nm,CPS
365,14180
366,12640
367,13110
368,12970
369,12410
370,11470
371,12230
372,12900
373,11900
374,11410
375,11690
376,10610
377,11010
378,9800
379,10190
380,10250
381,9990
382,10340
383,10580
384,13120
385,16880
386,23490
387,35070
388,49160
389,71500
390,96380
391,127540
392,158920
393,187740
394,221210
395,238120
396,257280
397,258920
398,252440
399,239440
400,218550
401,189980
402,164370
403,133640
404,106440
405,80150
406,56530
407,41290
408,28200
409,21500
410,16710
411,13370
412,11980
413,10770
414,10290
415,9550
416,8930
417,8950
418,8100
419,8070
420,7880
421,8100
422,7280
423,8080
424,7520
425,7600
426,7790
427,7630
428,7970
429,7840
430,7420
431,7680
432,7420
433,7200
434,7480
435,7510
436,7260
437,8100
438,7100
439,6790
440,7280
441,7360
442,7010
443,6700
444,6830
445,6770
446,6860
447,7040
448,6870
449,6820
450,7010
