Wavelength,S1
nm,CPS
380,230
381,260
382,310
383,280
384,220
385,320
386,300
387,270
388,230
389,210
390,350
391,160
392,310
393,250
394,230
395,300
396,380
397,170
398,340
399,310
400,310
401,350
402,220
403,210
404,260
405,200
406,330
407,180
408,260
409,260
410,180
411,240
412,240
413,260
414,200
415,200
416,310
417,350
418,310
419,340
420,240
421,220
422,220
423,220
424,170
425,330
426,280
427,230
428,320
429,210
430,240
431,280
432,260
433,240
434,240
435,270
436,270
437,250
438,280
439,310
440,240
441,250
442,240
443,300
444,240
445,270
446,310
447,310
448,310
449,370
450,270
451,220
452,290
453,300
454,380
455,170
456,300
457,280
458,200
459,200
460,270
461,200
462,250
463,300
464,250
465,300
466,230
467,280
468,310
469,300
470,280
471,250
472,300
473,340
474,300
475,350
476,300
477,520
478,380
479,430
480,530
481,420
482,610
483,2280
484,15600
485,17220
486,4530
487,920
488,920
489,950
490,1070
491,1140
492,1410
493,1420
494,1600
495,1820
496,2110
497,2010
498,2230
499,2440
500,2640
501,2300
502,2660
503,3070
504,3010
505,3120
506,3420
507,3060
508,3230
509,3090
510,2910
511,2910
512,3030
513,2750
514,3010
515,2560
516,2450
517,2400
518,2180
519,1770
520,1710
521,1840
522,1810
523,1580
524,1690
525,1540
526,1530
527,1370
528,1530
529,1200
530,1330
531,1300
532,1420
533,1120
534,960
535,1210
536,1410
537,1120
538,1130
539,1030
540,1050
541,1180
542,920
543,980
544,930
545,840
546,770
547,960
548,740
549,600
550,900
551,730
552,690
553,570
554,790
555,580
556,740
557,580
558,760
559,750
560,600
561,510
562,420
563,450
564,520
565,490
566,430
567,440
568,520
569,450
570,330
571,590
572,340
573,430
574,390
575,320
576,290
577,350
578,450
579,470
580,430
581,370
582,420
583,430
584,250
585,320
586,300
587,330
588,330
589,390
590,300
591,370
592,350
593,320
594,340
595,310
596,300
597,400
598,200
599,370
600,310
601,300
602,170
603,270
604,300
605,220
606,220
607,330
608,270
609,210
610,260
611,340
612,300
613,310
614,160
615,180
616,280
617,320
618,240
619,230
620,320
621,320
622,360
623,300
624,320
625,350
626,220
627,260
628,270
629,230
630,200
631,260
632,260
633,230
634,220
635,290
636,200
637,260
638,220
639,210
640,320
641,410
642,300
643,210
644,260
645,200
646,320
647,210
648,250
649,170
650,290
651,260
652,210
653,280
654,240
655,250
656,300
657,250
658,350
659,270
660,350
661,160
662,350
663,240
664,330
665,170
666,220
667,290
668,280
669,270
670,390
671,300
672,270
673,310
674,270
675,220
676,250
677,240
678,290
679,310
680,390
681,220
682,270
683,250
684,260
685,140
686,200
687,200
688,240
689,240
690,200
691,240
692,220
693,300
694,260
695,290
696,210
697,170
698,240
699,230
700,180
