Wavelength,S1
nm,CPS
500,56560
501,59570
502,62350
503,65540
504,67630
505,68860
506,69560
507,71360
508,70320
509,68970
510,67890
511,67920
512,65300
513,64770
514,59930
515,57960
516,55110
517,53600
518,48090
519,46480
520,43830
521,41120
522,40080
523,37620
524,35020
525,34480
526,32960
527,29770
528,30460
529,27700
530,27600
531,26780
532,26120
533,24720
534,23800
535,23340
536,22460
537,22390
538,21950
539,21520
540,19930
541,19470
542,18390
543,17640
544,17190
545,16580
546,16310
547,15750
548,16130
549,14390
550,14100
551,13590
552,12290
553,11990
554,11160
555,10620
556,10520
557,9520
558,9190
559,8600
560,8680
561,8100
562,7530
563,6940
564,6890
565,6290
566,5970
567,6110
568,5800
569,5410
570,5140
571,4800
572,4730
573,4460
574,4570
575,4430
576,3920
577,4060
578,3650
579,3960
580,3400
581,3470
582,3470
583,3360
584,3350
585,3140
586,2920
587,2160
588,2810
589,2680
590,2380
591,2520
592,2480
593,2450
594,2010
595,1930
596,2250
597,2050
598,1830
599,1940
600,1720
