A,S1
Wavelength,S1
nm,CPS
500,14780
501,15160
502,16610
503,16300
504,18010
505,18330
506,18290
507,18240
508,18050
509,18950
510,17940
511,17530
512,17080
513,17240
514,16880
515,16110
516,14800
517,14350
518,12620
519,12590
520,11490
521,11460
522,10480
523,10710
524,9780
525,8800
526,8940
527,8480
528,7500
529,7230
530,7310
531,6840
532,7150
533,6300
534,6470
535,6340
536,5930
537,5680
538,5670
539,5430
540,5370
541,5010
542,4840
543,5180
544,4700
545,4830
546,4500
547,4370
548,4070
549,3880
550,3740
551,3710
552,3410
553,3230
554,2830
555,2820
556,2610
557,2290
558,2750
559,2390
560,2080
561,2280
562,2130
563,2280
564,1820
565,1780
566,1810
567,1770
568,1750
569,1300
570,1540
571,1500
572,1260
573,1400
574,1510
575,1290
576,1210
577,1210
578,1070
579,1010
580,1270
581,1020
582,880
583,810
584,950
585,780
586,840
587,810
588,950
589,880
590,870
591,780
592,640
593,790
594,790
595,610
596,640
597,720
598,570
599,480
600,560
