A,S1,B,R1
Wavelength,S1,Wavelength,R1
nm,CPS,nm,MicroAmps
200,310,200,0
201,260,201,0
202,320,202,0
203,330,203,0
204,200,204,0
205,290,205,0
206,300,206,0
207,310,207,0
208,260,208,0
209,340,209,0
210,250,210,0
211,380,211,0
212,430,212,0
213,290,213,0
214,240,214,0
215,260,215,0
216,390,216,0
217,270,217,0
218,240,218,0
219,340,219,0
220,440,220,0
221,270,221,0
222,320,222,0
223,360,223,0
224,410,224,0
225,350,225,0
226,210,226,0
227,240,227,0
228,310,228,0
229,430,229,0
230,240,230,0
231,310,231,0
232,380,232,0
233,280,233,0
234,320,234,0
235,240,235,0
236,330,236,1.1E-5
237,430,237,8.5E-5
238,300,238,1.52E-4
239,200,239,2.31E-4
240,350,240,3.21E-4
241,320,241,4.27E-4
242,320,242,5.48E-4
243,320,243,6.74E-4
244,290,244,8.34E-4
245,330,245,9.97E-4
246,280,246,0.001177
247,340,247,0.00138
248,310,248,0.001586
249,430,249,0.001799
250,310,250,0.00204
251,390,251,0.002303
252,310,252,0.002575
253,320,253,0.002872
254,320,254,0.003166
255,390,255,0.00348
256,390,256,0.003795
257,290,257,0.004129
258,330,258,0.0045
259,340,259,0.004841
260,350,260,0.005188
261,300,261,0.005547
262,320,262,0.005863
263,330,263,0.006186
264,330,264,0.006539
265,350,265,0.006858
266,400,266,0.007181
267,260,267,0.007504
268,320,268,0.007808
269,370,269,0.008125
270,330,270,0.008479
271,270,271,0.008816
272,260,272,0.009152
273,340,273,0.009501
274,330,274,0.009875
275,230,275,0.010294
276,300,276,0.010708
277,360,277,0.011152
278,310,278,0.0116
279,350,279,0.012059
280,360,280,0.012646
281,330,281,0.013132
282,380,282,0.013585
283,340,283,0.014096
284,390,284,0.014619
285,370,285,0.01516
286,310,286,0.015741
287,370,287,0.016343
288,330,288,0.016939
289,290,289,0.017661
290,460,290,0.01868
291,360,291,0.019527
292,360,292,0.019975
293,290,293,0.020713
294,410,294,0.021517
295,300,295,0.022419
296,390,296,0.023261
297,260,297,0.024125
298,390,298,0.024929
299,220,299,0.025811
300,360,300,0.02668
301,320,301,0.027514
302,370,302,0.02837
303,330,303,0.02916
304,330,304,0.030024
305,400,305,0.030776
306,340,306,0.031608
307,420,307,0.03238
308,340,308,0.03319
309,450,309,0.033943
310,400,310,0.034711
311,400,311,0.035541
312,250,312,0.036456
313,280,313,0.037406
314,450,314,0.037985
315,340,315,0.03855
316,440,316,0.039227
317,430,317,0.039924
318,290,318,0.040636
319,430,319,0.041315
320,330,320,0.042084
321,420,321,0.042836
322,500,322,0.043586
323,720,323,0.044799
324,900,324,0.045169
325,1010,325,0.045656
326,840,326,0.046143
327,760,327,0.046808
328,680,328,0.047532
329,450,329,0.048177
330,380,330,0.048794
331,390,331,0.049544
332,300,332,0.050197
333,310,333,0.050882
334,390,334,0.051536
335,280,335,0.052155
336,450,336,0.0528
337,360,337,0.053407
338,410,338,0.053999
339,360,339,0.054588
340,320,340,0.055176
341,380,341,0.055768
342,440,342,0.05628
343,280,343,0.05691
344,330,344,0.057262
345,390,345,0.057741
346,350,346,0.058166
347,420,347,0.058608
348,440,348,0.059032
349,410,349,0.059298
350,380,350,0.059611
351,290,351,0.05993
352,350,352,0.06012
353,410,353,0.060292
354,420,354,0.060412
355,470,355,0.06055
356,470,356,0.060579
357,420,357,0.060697
358,500,358,0.060726
359,490,359,0.060741
360,650,360,0.06083
361,970,361,0.060866
362,1770,362,0.060946
363,56140,363,0.060952
364,527730,364,0.061003
365,855970,365,0.061223
366,347380,366,0.061407
367,12240,367,0.061701
368,1310,368,0.06195
369,760,369,0.06229
370,640,370,0.062638
371,460,371,0.062977
372,400,372,0.063444
373,390,373,0.063856
374,330,374,0.06433
375,430,375,0.064894
376,420,376,0.065423
377,310,377,0.066295
378,440,378,0.066873
379,380,379,0.067657
380,340,380,0.068241
381,370,381,0.069058
382,350,382,0.069386
383,430,383,0.069812
384,250,384,0.070227
385,440,385,0.070459
386,430,386,0.070913
387,330,387,0.071491
388,390,388,0.071911
389,340,389,0.072939
390,340,390,0.073905
391,300,391,0.074782
392,430,392,0.075535
393,360,393,0.076398
394,220,394,0.077326
395,330,395,0.07874
396,360,396,0.07976
397,290,397,0.08024
398,290,398,0.07961
399,350,399,0.07823
400,340,400,0.0771
401,320,401,0.07625
402,360,402,0.07587
403,330,403,0.07573
404,360,404,0.07578
405,430,405,0.07596
406,390,406,0.07599
407,340,407,0.07621
408,240,408,0.07668
409,260,409,0.07665
410,370,410,0.0768
411,320,411,0.07713
412,430,412,0.0775
413,440,413,0.07669
414,240,414,0.07605
415,310,415,0.07568
416,320,416,0.07552
417,390,417,0.07555
418,240,418,0.07656
419,430,419,0.07952
420,320,420,0.07928
421,350,421,0.07712
422,440,422,0.07574
423,390,423,0.07515
424,260,424,0.07495
