Wavelength,S1
nm,CPS
365,30340
366,29160
367,27240
368,26110
369,25340
370,24350
371,24290
372,22590
373,23340
374,23820
375,22470
376,22470
377,22520
378,21920
379,21770
380,22320
381,22120
382,23280
383,22850
384,23870
385,27220
386,33000
387,39750
388,52600
389,68240
390,90120
391,118680
392,145380
393,174270
394,200660
395,219620
396,235110
397,244570
398,240180
399,226480
400,212600
401,188830
402,164150
403,138400
404,111310
405,87790
406,66370
407,51210
408,39390
409,32190
410,25920
411,24700
412,22870
413,21150
414,19930
415,20180
416,19380
417,17380
418,18520
419,18150
420,17600
421,18250
422,17920
423,17770
424,17650
425,17860
426,17840
427,18050
428,17530
429,18750
430,18150
431,18310
432,17520
433,16920
434,17210
435,17620
436,16930
437,17870
438,17020
439,16990
440,17710
441,17260
442,17000
443,16610
444,16730
445,17100
446,16850
447,16770
448,16280
449,15760
450,16300
