A,S1
Wavelength,S1
nm,CPS
500,7710
501,8470
502,9050
503,9210
504,9610
505,9740
506,10490
507,11100
508,10920
509,10350
510,10450
511,9930
512,10540
513,10080
514,9790
515,9230
516,8920
517,8220
518,7900
519,7320
520,7010
521,7060
522,6340
523,6270
524,5340
525,5550
526,4940
527,4970
528,4850
529,4570
530,4310
531,4180
532,3780
533,4150
534,3650
535,3790
536,3780
537,3630
538,3350
539,3260
540,3170
541,3170
542,3060
543,2780
544,3000
545,2780
546,2800
547,2690
548,2500
549,2550
550,2520
551,2080
552,2250
553,2230
554,1940
555,1880
556,1920
557,1620
558,1490
559,1510
560,1250
561,1470
562,1360
563,1370
564,1160
565,1130
566,1240
567,970
568,1180
569,1150
570,970
571,920
572,940
573,870
574,980
575,940
576,920
577,960
578,850
579,880
580,690
581,810
582,740
583,610
584,720
585,870
586,620
587,560
588,630
589,420
590,560
591,590
592,480
593,710
594,670
595,470
596,560
597,630
598,600
599,500
600,400
