A,S1
Wavelength,S1
nm,CPS
500,8410
501,8680
502,9160
503,9880
504,10880
505,10800
506,11490
507,11170
508,11010
509,11630
510,11000
511,11400
512,10980
513,11050
514,10750
515,10280
516,9480
517,8810
518,8430
519,7720
520,7320
521,7110
522,6990
523,6100
524,6440
525,5430
526,5780
527,5110
528,5200
529,4620
530,4590
531,4310
532,4100
533,4110
534,3800
535,3490
536,3790
537,3570
538,3280
539,3910
540,3170
541,3370
542,2910
543,2920
544,3090
545,3050
546,2910
547,2880
548,2670
549,2370
550,2280
551,2390
552,2630
553,2150
554,2000
555,2190
556,1810
557,1820
558,1790
559,1720
560,1800
561,1480
562,1520
563,1390
564,1190
565,1080
566,1250
567,1150
568,1130
569,1210
570,1020
571,1000
572,750
573,960
574,1030
575,1000
576,780
577,860
578,740
579,780
580,520
581,770
582,660
583,530
584,800
585,710
586,790
587,590
588,520
589,580
590,610
591,560
592,550
593,550
594,550
595,510
596,510
597,440
598,520
599,570
600,430
