A,S1
Wavelength,S1
nm,CPS
500,10540
501,11110
502,11780
503,12640
504,12750
505,12560
506,13140
507,13010
508,13360
509,13220
510,12710
511,13190
512,12200
513,12050
514,11580
515,11090
516,10620
517,10390
518,9440
519,8980
520,8490
521,8140
522,7110
523,7340
524,6360
525,6570
526,6200
527,5580
528,5460
529,5690
530,5630
531,4880
532,5150
533,4270
534,4660
535,4610
536,4030
537,4230
538,4270
539,3750
540,3970
541,3560
542,3520
543,3450
544,3880
545,3270
546,3200
547,2640
548,2870
549,2960
550,2790
551,2790
552,2430
553,2440
554,2400
555,2310
556,1960
557,1840
558,1690
559,2080
560,1660
561,1490
562,1630
563,1480
564,1390
565,1360
566,1330
567,1200
568,1200
569,1160
570,950
571,970
572,1150
573,860
574,1150
575,1030
576,990
577,1010
578,740
579,980
580,790
581,840
582,670
583,680
584,750
585,670
586,830
587,640
588,680
589,710
590,650
591,630
592,560
593,470
594,580
595,400
596,460
597,550
598,430
599,510
600,450
