A,S1,B,R1
Wavelength,S1,Wavelength,R1
nm,CPS,nm,MicroAmps
400,1180,400,0.08118
401,1420,401,0.08037
402,1080,402,0.07982
403,1340,403,0.07972
404,1510,404,0.07981
405,1220,405,0.07987
406,1360,406,0.07994
407,1370,407,0.08027
408,1290,408,0.08062
409,1530,409,0.08071
410,1310,410,0.08066
411,1420,411,0.08105
412,1210,412,0.08135
413,1330,413,0.08053
414,1470,414,0.07997
415,1530,415,0.07952
416,1390,416,0.07937
417,1580,417,0.07942
418,1550,418,0.08054
419,1530,419,0.08352
420,1920,420,0.08319
421,1690,421,0.08074
422,1580,422,0.07946
423,1870,423,0.07893
424,1970,424,0.07863
425,1650,425,0.07837
426,1750,426,0.07814
427,1950,427,0.07785
428,1620,428,0.07773
429,1690,429,0.07736
430,1860,430,0.0771
431,2110,431,0.07691
432,2240,432,0.0768
433,2230,433,0.07662
434,2350,434,0.07659
435,2210,435,0.07651
436,2160,436,0.07674
437,2330,437,0.07749
438,2240,438,0.07926
439,3130,439,0.07976
440,2790,440,0.07755
441,2770,441,0.07673
442,2640,442,0.07676
443,2740,443,0.07616
444,2720,444,0.07565
445,3030,445,0.07537
446,2890,446,0.07473
447,3200,447,0.07435
448,3380,448,0.07478
449,3560,449,0.08227
450,4460,450,0.0922
451,4160,451,0.0812
452,3910,452,0.0839
453,3880,453,0.07695
454,4280,454,0.07558
455,4330,455,0.076
456,4810,456,0.07807
457,4830,457,0.0808
458,5220,458,0.08011
459,4760,459,0.07705
460,4950,460,0.07801
461,5000,461,0.08252
462,5540,462,0.08716
463,5710,463,0.08378
464,5620,464,0.07861
465,5900,465,0.07923
466,6280,466,0.09055
467,6830,467,0.1031
468,7630,468,0.09553
469,6330,469,0.08603
470,5590,470,0.07922
471,5690,471,0.07361
472,6110,472,0.07654
473,6410,473,0.08693
474,5910,474,0.07389
475,5060,475,0.06557
476,4810,476,0.06337
477,5200,477,0.06194
478,5340,478,0.06151
479,5430,479,0.06254
480,5970,480,0.06702
481,6010,481,0.07159
482,5770,482,0.0696
483,6250,483,0.06897
484,6140,484,0.06651
485,5920,485,0.06323
486,5200,486,0.06059
487,5160,487,0.05917
488,5510,488,0.05879
489,5580,489,0.05872
490,5090,490,0.05847
491,5310,491,0.0615
492,6140,492,0.06762
493,5790,493,0.06671
494,4700,494,0.06173
495,4730,495,0.05856
496,4840,496,0.0569
497,4360,497,0.0559
498,4010,498,0.05529
499,4040,499,0.05488
500,3700,500,0.05452
501,3740,501,0.05434
502,3290,502,0.05443
503,2690,503,0.05466
504,2700,504,0.05411
505,2180,505,0.05352
506,2250,506,0.05308
507,2300,507,0.05286
508,5450,508,0.05258
509,73320,509,0.05239
510,148400,510,0.05217
511,47660,511,0.05208
512,1670,512,0.05221
513,990,513,0.05194
514,890,514,0.05155
515,530,515,0.05121
516,620,516,0.05099
517,480,517,0.05079
518,530,518,0.05064
519,370,519,0.05039
520,300,520,0.0501
521,400,521,0.04976
522,350,522,0.04951
523,430,523,0.04928
524,340,524,0.04897
525,310,525,0.04865
526,320,526,0.04837
527,350,527,0.04814
528,220,528,0.04802
529,390,529,0.04788
530,290,530,0.04729
531,170,531,0.04702
532,350,532,0.0467
533,320,533,0.04661
534,240,534,0.04638
535,190,535,0.04597
536,330,536,0.04575
537,330,537,0.0454
538,390,538,0.04494
539,290,539,0.04482
540,260,540,0.04463
541,220,541,0.04458
542,250,542,0.04447
543,320,543,0.04412
544,290,544,0.04378
545,320,545,0.04347
546,260,546,0.04323
547,240,547,0.04296
548,270,548,0.04267
549,330,549,0.04231
550,240,550,0.04206
551,280,551,0.04174
552,290,552,0.04157
553,300,553,0.04128
554,340,554,0.04091
555,270,555,0.04054
556,290,556,0.04029
557,310,557,0.040031
558,350,558,0.039808
559,210,559,0.039461
560,310,560,0.039126
561,350,561,0.038862
562,330,562,0.038485
563,210,563,0.038211
564,310,564,0.037901
565,300,565,0.037649
566,160,566,0.037456
567,300,567,0.037186
568,340,568,0.037066
569,260,569,0.036865
570,240,570,0.03656
571,260,571,0.036222
572,260,572,0.035943
573,310,573,0.035619
574,270,574,0.035456
575,300,575,0.035211
576,350,576,0.034929
577,240,577,0.034695
578,280,578,0.034453
579,210,579,0.03416
580,230,580,0.034009
581,210,581,0.03374
582,270,582,0.033575
583,270,583,0.033342
584,280,584,0.03317
585,240,585,0.032958
586,300,586,0.032582
587,270,587,0.032377
588,260,588,0.032077
589,210,589,0.031707
590,230,590,0.031424
591,280,591,0.031041
592,350,592,0.030652
593,260,593,0.030312
594,220,594,0.029948
595,300,595,0.029547
596,320,596,0.029196
597,290,597,0.028875
598,260,598,0.028556
599,210,599,0.028165
600,280,600,0.027883
601,300,601,0.027573
602,350,602,0.027299
603,260,603,0.027056
604,350,604,0.026758
605,290,605,0.026521
606,240,606,0.026274
607,180,607,0.026022
