A,S1,B,R1
Wavelength,S1,Wavelength,R1
nm,CPS,nm,MicroAmps
400,2630,400,0.08097
401,2490,401,0.08012
402,2510,402,0.07981
403,2740,403,0.07959
404,2830,404,0.07959
405,2860,405,0.07971
406,3200,406,0.07972
407,3150,407,0.07996
408,2780,408,0.08052
409,3330,409,0.08049
410,3080,410,0.08048
411,3540,411,0.08093
412,3830,412,0.08131
413,3790,413,0.0803
414,3690,414,0.07982
415,3790,415,0.07941
416,3740,416,0.07929
417,4260,417,0.07925
418,4300,418,0.08034
419,4630,419,0.08336
420,4920,420,0.08302
421,4620,421,0.08066
422,4940,422,0.07932
423,4810,423,0.07875
424,5170,424,0.07853
425,5510,425,0.07832
426,5390,426,0.07804
427,5370,427,0.07768
428,5490,428,0.07732
429,5890,429,0.07728
430,5800,430,0.07689
431,6000,431,0.07679
432,6490,432,0.07657
433,6880,433,0.0765
434,6550,434,0.07643
435,7120,435,0.07634
436,7210,436,0.07659
437,7240,437,0.07732
438,8760,438,0.07914
439,8670,439,0.07957
440,8770,440,0.07737
441,8680,441,0.07663
442,9100,442,0.07659
443,9650,443,0.07609
444,10310,444,0.07553
445,10140,445,0.0752
446,10320,446,0.07461
447,10960,447,0.07418
448,10900,448,0.0747
449,12280,449,0.08237
450,14940,450,0.09178
451,13400,451,0.08091
452,14230,452,0.08364
453,14090,453,0.07657
454,13270,454,0.07526
455,13540,455,0.07597
456,14720,456,0.07803
457,15620,457,0.08068
458,15630,458,0.07976
459,15730,459,0.07696
460,16970,460,0.07805
461,17510,461,0.08248
462,18400,462,0.08698
463,18060,463,0.08338
464,17720,464,0.0784
465,18040,465,0.07907
466,20680,466,0.09005
467,23370,467,0.10264
468,23060,468,0.09508
469,20760,469,0.08569
470,19440,470,0.07888
471,18050,471,0.07338
472,18970,472,0.07636
473,20970,473,0.08671
474,18150,474,0.07331
475,16930,475,0.06531
476,15850,476,0.0631
477,17020,477,0.06178
478,16550,478,0.06137
479,16680,479,0.06245
480,18250,480,0.06703
481,20110,481,0.07138
482,20370,482,0.06938
483,19410,483,0.06868
484,19680,484,0.06621
485,18370,485,0.06287
486,17110,486,0.06039
487,17140,487,0.05893
488,16750,488,0.05877
489,16760,489,0.05852
490,16330,490,0.0583
491,16870,491,0.0616
492,18650,492,0.0677
493,17760,493,0.06628
494,15060,494,0.0615
495,14270,495,0.05849
496,13090,496,0.05676
497,12280,497,0.05581
498,11660,498,0.05524
499,10900,499,0.05477
500,9230,500,0.0545
501,8990,501,0.05427
502,8120,502,0.05435
503,7290,503,0.05459
504,6580,504,0.05395
505,5710,505,0.05337
506,5400,506,0.053
507,4870,507,0.05261
508,6580,508,0.05251
509,47880,509,0.05228
510,93900,510,0.05206
511,35740,511,0.05195
512,2800,512,0.05205
513,1890,513,0.05178
514,1480,514,0.05144
515,1120,515,0.05114
516,1100,516,0.05081
517,1010,517,0.05059
518,840,518,0.05047
519,760,519,0.05025
520,680,520,0.04992
521,530,521,0.04964
522,490,522,0.0494
523,440,523,0.04913
524,550,524,0.04882
525,370,525,0.04849
526,390,526,0.04831
527,270,527,0.04805
528,430,528,0.048
529,510,529,0.04784
530,290,530,0.04719
531,210,531,0.04692
532,280,532,0.0467
533,280,533,0.04646
534,300,534,0.04623
535,320,535,0.04588
536,360,536,0.04559
537,320,537,0.04526
538,350,538,0.04481
539,470,539,0.04467
540,290,540,0.04452
541,250,541,0.04449
542,310,542,0.04438
543,280,543,0.04393
544,300,544,0.0438
545,330,545,0.04343
546,430,546,0.04318
547,310,547,0.0429
548,380,548,0.04251
549,340,549,0.04223
550,370,550,0.04194
551,260,551,0.04168
552,250,552,0.04151
553,300,553,0.04121
554,300,554,0.04085
555,350,555,0.04045
556,380,556,0.04022
557,280,557,0.040025
558,290,558,0.039762
559,350,559,0.039306
560,320,560,0.039099
561,300,561,0.038795
562,260,562,0.038426
563,260,563,0.038152
564,260,564,0.037788
565,260,565,0.037582
566,310,566,0.037345
567,370,567,0.037077
568,220,568,0.037037
569,260,569,0.036739
570,270,570,0.036477
571,340,571,0.036113
572,260,572,0.035804
573,310,573,0.035568
574,360,574,0.03536
575,370,575,0.035106
576,200,576,0.03485
577,350,577,0.034584
578,290,578,0.034372
579,370,579,0.03414
580,460,580,0.033878
581,390,581,0.033685
582,260,582,0.033505
583,270,583,0.033318
584,340,584,0.033139
585,390,585,0.032862
586,260,586,0.032582
587,350,587,0.032286
588,200,588,0.032013
589,140,589,0.031693
590,270,590,0.031335
591,340,591,0.030961
592,420,592,0.030609
593,290,593,0.030208
594,280,594,0.029851
595,330,595,0.029476
596,510,596,0.029093
597,270,597,0.028785
598,390,598,0.028462
599,210,599,0.028084
600,260,600,0.027824
