A,S1,B,R1
Wavelength,S1,Wavelength,R1
nm,CPS,nm,MicroAmps
400,890,400,0.08135
401,1130,401,0.0805
402,1010,402,0.08014
403,1020,403,0.07995
404,1180,404,0.08017
405,1350,405,0.08022
406,1090,406,0.08035
407,1150,407,0.08065
408,1180,408,0.08099
409,1240,409,0.0811
410,1100,410,0.0812
411,1390,411,0.08155
412,1320,412,0.08178
413,1480,413,0.08101
414,1540,414,0.08029
415,1480,415,0.07991
416,1280,416,0.07978
417,1490,417,0.07981
418,1590,418,0.08095
419,1450,419,0.08379
420,1610,420,0.08346
421,1790,421,0.08105
422,2020,422,0.07981
423,2060,423,0.07931
424,1690,424,0.07895
425,1890,425,0.07877
426,1980,426,0.07849
427,2270,427,0.07814
428,1880,428,0.07808
429,2190,429,0.07768
430,2260,430,0.07749
431,2410,431,0.07735
432,2280,432,0.07707
433,2450,433,0.07707
434,2680,434,0.07681
435,2560,435,0.07678
436,2530,436,0.07709
437,2570,437,0.07779
438,2730,438,0.07953
439,2690,439,0.08018
440,3310,440,0.07779
441,3270,441,0.07712
442,3410,442,0.07702
443,3290,443,0.07653
444,3430,444,0.07595
445,3410,445,0.07564
446,3380,446,0.07503
447,3260,447,0.07459
448,4020,448,0.07511
449,4270,449,0.08288
450,4820,450,0.09237
451,4430,451,0.08147
452,4350,452,0.08411
453,4150,453,0.07712
454,4780,454,0.07579
455,4970,455,0.0764
456,4990,456,0.07855
457,5200,457,0.08112
458,5380,458,0.08028
459,5090,459,0.07747
460,5430,460,0.07858
461,5830,461,0.08268
462,6460,462,0.08752
463,6660,463,0.08377
464,5990,464,0.07886
465,6270,465,0.07964
466,6980,466,0.09099
467,7650,467,0.10318
468,7340,468,0.09565
469,6850,469,0.08616
470,6490,470,0.07929
471,6200,471,0.07391
472,6850,472,0.0773
473,7180,473,0.08728
474,6100,474,0.07363
475,5750,475,0.06568
476,5830,476,0.06363
477,5570,477,0.06222
478,5590,478,0.06177
479,5600,479,0.06288
480,6510,480,0.06737
481,6990,481,0.07186
482,6580,482,0.06987
483,6220,483,0.06907
484,6480,484,0.06655
485,5990,485,0.06331
486,5740,486,0.06075
487,5800,487,0.05936
488,5930,488,0.05904
489,6070,489,0.05894
490,6320,490,0.0588
491,5650,491,0.06189
492,6300,492,0.06811
493,6130,493,0.06664
494,5550,494,0.06188
495,5010,495,0.05882
496,4690,496,0.05713
497,4180,497,0.05617
498,3840,498,0.05552
499,3560,499,0.05516
500,3670,500,0.05475
501,3020,501,0.05455
502,2740,502,0.05461
503,2740,503,0.05487
504,2520,504,0.05427
505,2090,505,0.05371
506,2110,506,0.05329
507,1890,507,0.05307
508,3790,508,0.05281
509,33950,509,0.05258
510,67120,510,0.0523
511,23360,511,0.05231
512,1300,512,0.05241
513,820,513,0.05213
514,680,514,0.05171
515,590,515,0.0514
516,500,516,0.05116
517,460,517,0.05091
518,410,518,0.05083
519,410,519,0.05052
520,440,520,0.05025
521,550,521,0.04994
522,320,522,0.04966
523,320,523,0.04947
524,390,524,0.04916
525,310,525,0.04888
526,240,526,0.04861
527,330,527,0.0484
528,400,528,0.04816
529,390,529,0.04812
530,340,530,0.04744
531,370,531,0.04722
532,370,532,0.04693
533,300,533,0.04673
534,250,534,0.0466
535,260,535,0.04605
536,300,536,0.04591
537,390,537,0.04551
538,220,538,0.04514
539,320,539,0.04494
540,340,540,0.04482
541,330,541,0.04475
542,330,542,0.04464
543,350,543,0.0443
544,420,544,0.04401
545,310,545,0.04372
546,340,546,0.04337
547,420,547,0.04311
548,240,548,0.04279
549,310,549,0.04249
550,290,550,0.04214
551,260,551,0.04186
552,390,552,0.04173
553,270,553,0.0414
554,300,554,0.04104
555,380,555,0.04072
556,420,556,0.04043
557,360,557,0.04003
558,260,558,0.039942
559,310,559,0.03963
560,250,560,0.039285
561,360,561,0.038984
562,470,562,0.038674
563,310,563,0.038336
564,160,564,0.037995
565,270,565,0.037797
566,330,566,0.037569
567,330,567,0.037341
568,330,568,0.037175
569,350,569,0.036969
570,400,570,0.036656
571,310,571,0.036293
572,360,572,0.036065
573,320,573,0.035789
574,310,574,0.035567
575,270,575,0.035282
576,170,576,0.035081
577,370,577,0.034814
578,400,578,0.034596
579,340,579,0.034372
580,330,580,0.034103
581,340,581,0.033876
582,250,582,0.033683
583,260,583,0.033557
584,240,584,0.033332
585,370,585,0.033069
586,300,586,0.032765
587,440,587,0.032498
588,250,588,0.032172
589,310,589,0.031867
590,270,590,0.031527
591,300,591,0.031176
592,300,592,0.030804
593,350,593,0.030449
594,490,594,0.030052
595,350,595,0.029678
596,360,596,0.02933
597,400,597,0.028984
598,200,598,0.028662
599,290,599,0.028329
600,290,600,0.027997
